Frequency	Gain
5285.00000	-21.89098
5290.00000	-19.24440
5295.00000	-16.72265
5300.00000	-16.61848
5305.00000	-19.07206
5310.00000	-21.76389
5315.00000	-24.00364
5320.00000	-25.80852
5325.00000	-27.27584
5330.00000	-28.47972
5335.00000	-29.48274
5340.00000	-30.31911
5345.00000	-31.02018
5350.00000	-31.57711
5355.00000	-31.99269
5360.00000	-32.40189
5365.00000	-32.67946
5370.00000	-32.89131
5375.00000	-33.01065
5380.00000	-33.05013
5385.00000	-33.02524
5390.00000	-32.75114
5395.00000	-32.72051
5400.00000	-32.44978
5405.00000	-32.08774
5410.00000	-31.66100
5415.00000	-31.13998
5420.00000	-30.45394
5425.00000	-29.63533
5430.00000	-28.65166
5435.00000	-27.46388
5440.00000	-26.01869
5445.00000	-24.24068
5450.00000	-22.04212
5455.00000	-19.41584
5460.00000	-17.02201
5465.00000	-17.03373
5470.00000	-19.44064
5475.00000	-22.07164
5480.00000	-24.26247
5485.00000	-26.03962
5490.00000	-27.48565
5495.00000	-28.66436
5500.00000	-29.66341
5505.00000	-30.43548
5510.00000	-31.10727
5515.00000	-31.67252
5520.00000	-32.12554
5525.00000	-32.48418
5530.00000	-32.74960
5535.00000	-32.92648
5540.00000	-33.07078
5545.00000	-32.84774
5550.00000	-33.06740
5555.00000	-32.70023
5560.00000	-32.80929
5565.00000	-32.55596
5570.00000	-32.19635
5575.00000	-31.74712
5580.00000	-31.21242
5585.00000	-30.56208
5590.00000	-29.76737
5595.00000	-28.81811
5600.00000	-27.67332
5605.00000	-26.29017
5610.00000	-24.59612
5615.00000	-22.51286
5620.00000	-19.98856
5625.00000	-17.45866
5630.00000	-16.80597
5635.00000	-18.83413
5640.00000	-21.32464
5645.00000	-23.71604
5650.00000	-25.56759
5655.00000	-27.07418
5660.00000	-28.30560
5665.00000	-29.23787
5670.00000	-30.09205
5675.00000	-30.87595
5680.00000	-31.44828
5685.00000	-31.88407
5690.00000	-32.25220
5695.00000	-32.55688
5700.00000	-32.53835
5705.00000	-32.90298
5710.00000	-32.90699
5715.00000	-32.93950
5720.00000	-32.86120
5725.00000	-32.67939
5730.00000	-32.42766
5735.00000	-32.09551
5740.00000	-31.65764
5745.00000	-31.10345
5750.00000	-30.44581
5755.00000	-29.64901
5760.00000	-28.67226
5765.00000	-27.54593
5770.00000	-26.16757
5775.00000	-24.46555
5780.00000	-22.36296
5785.00000	-19.85476
5790.00000	-17.54329
5795.00000	-17.35184
5800.00000	-19.53181
5805.00000	-22.09469
5810.00000	-24.28526
5815.00000	-26.06714
5820.00000	-27.54490
5825.00000	-28.77342
5830.00000	-29.80084
5835.00000	-30.63102
5840.00000	-31.32999
5845.00000	-31.90292
5850.00000	-32.36542
5855.00000	-32.72430
5860.00000	-33.00662
5865.00000	-33.21858
5870.00000	-33.34342
5875.00000	-33.38184
5880.00000	-33.37087
5885.00000	-33.27424
5890.00000	-33.05076
5895.00000	-32.82212
